"institute_crm_id", "department_name"
"Levinsky College of Education""4462EB79-EA48-EA11-8140-000C29A8E632","Education"
"University of Miami""1B8B3538-955B-E911-8106-000C29A8E632","Psychology"
"Capella University""84E7FC4D-6200-E411-BEB5-00505683000D","Psychology"
"Capella University""84E7FC4D-6200-E411-BEB5-00505683000D","Psychology"
"Wichita State University""9755E065-6200-E411-BEB5-00505683000D","Counseling, Educational Leadership, Educational & School Psychology (CLES)"
"Northern Illinois University""46A77ECA-D75A-E911-8106-000C29A8E632",""
"University of Waikato""1D55E065-6200-E411-BEB5-00505683000D",""
"Hebrew University of Jerusalem""0E88E5FF-1D5A-E911-8106-000C29A8E632",""
"Stockholm University""8A57CC79-065B-E911-8106-000C29A8E632",""
"Our Sunny World""14138C04-E25A-E911-8106-000C29A8E632","Applied Behavior Analysis"
"West Virginia University""337383A1-F5B1-E811-8102-000C29A8E632",""
"Our Sunny World""14138C04-E25A-E911-8106-000C29A8E632","Applied Behavior Analysis"
"Florida International University""F98CF753-6200-E411-BEB5-00505683000D",""
"Long Island University""79028965-BAB2-E411-BF61-0050569C00A7",""
"Vanderbilt University""3C55E065-6200-E411-BEB5-00505683000D",""
"ABA Training Solutions""F6102C78-BD54-E911-8106-000C29A8E632",""
"Keiser University""C724B627-375A-E911-8106-000C29A8E632","Psychology "
"Reykjavík University""FEAF17E3-F15A-E911-8106-000C29A8E632",""
"ABA España""0857E065-6200-E411-BEB5-00505683000D",""
"Saint Louis University""F14763AB-F668-E411-B490-0050569C00A7",""
"Northeastern University""10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"University of North Texas""2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"University of North Texas""2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"Faculdade INESP""5378C7C0-EB48-EA11-8140-000C29A8E632","Education"
"Association Agir et Vivre l'Autisme""C4EA6C4C-4855-E911-8106-000C29A8E632",""
"University of North Texas""2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"University of North Texas""2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"Texas Tech University""F0C0D783-085B-E911-8106-000C29A8E632","Educational Psychology & Leadership"
"University of Alabama in Huntsville""33A72EF4-AC99-E911-810E-000C29A8E632","Curriculum and Instruction"
"Seneca College""6D4DE4B0-E948-EA11-8140-000C29A8E632","Behavior Analysis"
"Institute for Accessibility Development Tsinghua University""AAA647EE-EA48-EA11-8140-000C29A8E632","Education"
"Institute for Accessibility Development Tsinghua University""AAA647EE-EA48-EA11-8140-000C29A8E632","Education"
"Marian University""58F68E28-EA48-EA11-8140-000C29A8E632","Special Education"
"University of Colorado Colorado Springs""6F9944DF-E848-EA11-8140-000C29A8E632","Education"
"Griffith University""268E2938-EB48-EA11-8140-000C29A8E632","Allied Health Sciences"
"The University of British Columbia""5143B430-8E5B-E911-8106-000C29A8E632","Education"
"Arizona State University - Online""6D99D86B-6200-E411-BEB5-00505683000D","Special Education"
"Arizona State University - Online""6D99D86B-6200-E411-BEB5-00505683000D","Special Education"
"University of Miami - Center for Autism & Related Disabilities""604A7EEE-093C-E711-B5CE-0050569C00A7",""
"Faculdade INESP""5378C7C0-EB48-EA11-8140-000C29A8E632","Education"
"Northeastern University""10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"York College of Pennsylvania""FCABB72D-E748-EA11-8140-000C29A8E632","Education"
"Northeastern University""10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Northeastern University""10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Northeastern University""10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Touro University Nevada""D13BFC7D-E948-EA11-8140-000C29A8E632","Education"
"West University of Timişoara""1A5AA5AF-E748-EA11-8140-000C29A8E632","Special Education"
"Eötvös Lóránd University""BE6AAD33-EC48-EA11-8140-000C29A8E632","Psychology"
"Ouachita Baptist University""DEDB74FD-E948-EA11-8140-000C29A8E632","Behavior Analysis"
"Texas Tech University""F0C0D783-085B-E911-8106-000C29A8E632","Educational Psychology & Leadership"
"McNeese State University""5FDD208C-F341-E511-B471-0050569C00A7","Psychology"
"Griffith University""268E2938-EB48-EA11-8140-000C29A8E632","Allied Health Sciences"
